"ChEMBL ID;    ""Name"";""Synonyms"";""Type"";""Max Phase"";""Molecular Weight"";""Targets"";""Bioactivities"";""AlogP"";""Polar Surface Area"";""HBA"";""HBD"";""#RO5 Violations"";""#Rotatable Bonds"";""Passes Ro3"";""QED Weighted"";""CX Acidic pKa"";""CX Basic pKa"";""CX LogP"";""CX LogD"";""Aromatic Rings"";""Structure Type"";""Inorganic Flag"";""Heavy Atoms"";""HBA (Lipinski)"";""HBD (Lipinski)"";""#RO5 Violations (Lipinski)"";""Molecular Weight (Monoisotopic)"";""Np Likeness Score"";""Molecular Species"";""Molecular Formula"";""Smiles"";""Inchi Key""",,,,,,,,,,,,,
"CHEMBL1742991;""BENRALIZUMAB"";""BENRALIZUMAB|BIW-8405|Benralizumab|Fasenra|MEDI-563"";""Antibody"";""4.0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""SEQ"";""0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,,,,,,
"CHEMBL4594494;""SC-005"";""ANTIBODY-DRUG CONJUGATE SC-005|SC-005|SC005"";""Unknown"";""1.0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""NONE"";""0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,,,,,,
"CHEMBL1201506;""GEMTUZUMAB OZOGAMICIN"";""CDP-771|CMA-676|CMC-676|GEMTUZUMAB OZOGAMICIN|GEMTUZUMAB OZOGAMICIN RECOMBINANT|L01XC05|Mylotarg|WAY-CMA-676"";""Antibody"";""4.0"";"""";""2"";""19"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""SEQ"";""0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,,,,,,
"CHEMBL2104523;""CINITAPRIDE"";""CINITAPRIDE|PAXAPRIDE"";""Small molecule"";""3.0"";""402.50"";""1"";""2"";""3.13"";""110.73"";""6"";""2"";""0"";""7"";""N"";""0.31"";""13.62"";""9.74"";""2.79"";""0.48"";""1"";""MOL"";""0"";""29"";""8"";""3"";""0"";""402.2267"";""-1.32"";""BASE"";""C21H30N4O4"";""CCOc1cc(N)c([N+](=O)[O-])cc1C(=O)NC1CCN(CC2CC=CCC2)CC1"";""ZDLBNXXKDMLZMF-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL3707229;""TEZEPELUMAB"";""AMG 157|MEDI19929|TEZEPELUMAB|TEZEPELUMAB-EKKO|Tezspire"";""Antibody"";""4.0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""SEQ"";""0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,,,,,,
"CHEMBL3301587;""DURVALUMAB"";""DURVALUMAB|Imfinzi|MEDI-4736|MEDI4736"";""Antibody"";""4.0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""SEQ"";""0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,,,,,,
"CHEMBL1314;""TIOPRONIN"";""ACADIONE|CAPTIMER|NSC-760416|THIOLA|THIOLA EC|TIOPRONIN|Tiopronin"";""Small molecule"";""4.0"";""163.20"";""27"";""1528"";""-0.49"";""66.40"";""3"";""3"";""0"";""3"";""N"";""0.49"";""3.86"";""None"";""-0.53"";""-3.77"";""0"";""MOL"";""0"";""10"";""4"";""2"";""0"";""163.0303"";""-0.01"";""ACID"";""C5H9NO3S"";""CC(S)C(=O)NCC(=O)O"";""YTGJWQPHMWSCST-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL606;""MISOPROSTOL"";""Cytotec|MISOPROSTOL|MYSODELLE|SC-29333|TOPOGYNE"";""Small molecule"";""4.0"";""382.54"";""24"";""111"";""3.95"";""83.83"";""5"";""2"";""0"";""13"";""N"";""0.29"";""None"";""None"";""3.86"";""3.86"";""0"";""MOL"";""0"";""27"";""5"";""2"";""0"";""382.2719"";""1.41"";""NEUTRAL"";""C22H38O5"";""CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC"";""OJLOPKGSLYJEMD-URPKTTJQSA-N""",,,,,,,,,,,,,
"CHEMBL2107884;""RESLIZUMAB"";""CEP-38072|CINQAERO|CINQAIR|CINQUIL|DCP 835|DCP-835|RESLIZUMAB|SCH 55700|SCH-55700|SCH55700"";""Antibody"";""4.0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""SEQ"";""0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,,,,,,
"CHEMBL2109653;""BERMEKIMAB"";"" RA-18C3|BERMEKIMAB|CA-18C3|CV-18C3|MaBp1|RA-18C3|T2-18C3|Xilonix"";""Antibody"";""3.0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""SEQ"";""0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,,,,,,
"CHEMBL1201575;""EFALIZUMAB"";""ANTI-CD11A|EFALIZUMAB|HU-1124|HU1124|RAPTIVA"";""Antibody"";""4.0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""SEQ"";""0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,,,,,,
"CHEMBL3301582;""POLATUZUMAB VEDOTIN"";""ACD-79B-VCMMAE|ACD-79BVCMMAE|ACD79B-VCMMAE|ANTI-CD79B ADC|DCDS-4501A|DCDS4501A|FCU-2711|FCU2711|POLATUZUMAB VEDOTIN|POLATUZUMAB VEDOTIN PIIQ|POLATUZUMAB VEDOTIN-PIIQ|Polivy|RG-7596|RG7596|RO-5541077-000|RO-5541077000|RO5541077-000"";""Antibody"";""4.0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""SEQ"";""0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,,,,,,
"CHEMBL1742994;""BRENTUXIMAB VEDOTIN"";""ADCETRIS|BRENTUXIMAB VEDOTIN|BRENTUXIMAB VEDOTIN BRENTUXIMAB|CAC-10|CAC10|CAC10-1006(4)|CAC10-VCMMAE|CAC10-VCMMAE(4)|MONOCLONAL ANTIBODY SGN-30|SGN 30|SGN-35"";""Antibody"";""4.0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""SEQ"";""0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,,,,,,
"CHEMBL1742992;""BLINATUMOMAB"";""BLINATUMOMAB|MEDI-538|MT-103"";""Antibody"";""4.0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""SEQ"";""0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,,,,,,
"CHEMBL2109005;""CASTOR OIL"";""BIMAYOU|CASTOR OIL|CASTOR OIL", AROMATIC|CASTOR OIL,EMULSION|CASTOR OIL,EMULSION,"FLAVORED|E-1503|FEMA NO. 2263|INS NO.1503|INS-1503|OLEUM RICINI|RICINUS COMMUNIS FIBRE OIL|RICINUS COMMUNIS OIL|RICINUS COMMUNIS SEED OIL|RICINUS ZANZIBARINUS"";""Small molecule"";""4.0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""NONE"";""0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,,
"CHEMBL1201576;""RITUXIMAB"";""ABP-798|ABP798|BI 695500|BI-695500|BI695500|BLITZIMA|CT-P10|GP2013|HS-006|HS-006 (RITUXIMAB BIOSIMILAR)|HS006|IDEC-102|IDEC-C2B8|MABTHERA|MABTHERA RITUXAN|MK-8808|PF-05280586|R-105 IDEC-102|RG-105|RHCACD20MA|RIABNI|RITEMVIA|RITUXIMAB|RITUXIMAB (GENETICAL RECOMBINATION)|RITUXIMAB ABBS|RITUXIMAB ARRX|RITUXIMAB BIOSIMILAR - CELLTRION|RITUXIMAB BIOSIMILAR -MERCK|RITUXIMAB PVVR|RITUXIMAB-ABBS|RITUXIMAB-ARRX|RITUXIMAB-BOEHRINGER INGELHEIM|RITUXIMAB-CT-P10|RITUXIMAB-PFIZER|RITUXIMAB-PVVR|RUXIENCE|Rituxan|SAIT-101|SAIT101|TRUXIMA|TUXELLA|USP MAB 001"," MONOCLONAL IGG1|ZUBERITAMAB"";""Antibody"";""4.0"";"""";""2"";""19"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""SEQ"";""0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,,,,,
"CHEMBL1743082;""TRASTUZUMAB EMTANSINE"";""ADO-TRASTUZUMAB EMTANSINE|PRO-132365|RG-3502|TRASTUZUMAB EMTANSINE|TRASTUZUMAB-MCC-DM1 T-DM1"";""Antibody"";""4.0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""SEQ"";""0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,,,,,,
"CHEMBL3545131;""ISATUXIMAB"";""ISATUXIMAB|ISATUXIMAB IRFC|ISATUXIMAB-IRFC|SAR-650984|SAR650984|Sarclisa"";""Antibody"";""4.0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""SEQ"";""0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,,,,,,
"CHEMBL1743041;""MOGAMULIZUMAB"";""AMG-761|KM-8761|KM8761|KW-0761|MOGAMULIZUMAB|MOGAMULIZUMAB (GENETICAL RECOMBINATION)|MOGAMULIZUMAB KPKC|MOGAMULIZUMAB-KPKC|Poteligeo"";""Antibody"";""4.0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""SEQ"";""0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,,,,,,
"CHEMBL1201613;""INSULIN GLULISINE"";""APIDRA|APIDRA SOLOSTAR|GLULISINE APIDRA|HMR 1964|HMR-1964|HMR1964|INS APIDRA|INS APIDRA OPTICLIK|INS APIDRA OPTISET|INS APIDRA SOLOSTAR|INSULIN GLULISINE|INSULIN GLULISINE RECOMBINANT|INSULIN", GLULISINE, HUMAN|INSULIN,GLULISINE,"HUMAN|Insulin Glulisine Recombinant|Insulin glulisine recombinant"";""Protein"";""4.0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""SEQ"";""0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,,
"CHEMBL1201631;""INSULIN"";""AFREZZA|EXUBERA|HUMULIN BR|HUMULIN R|HUMULIN R KWIKPEN|HUMULIN R PEN|Humulin|INS HUMULIN R|INSULIN|INSULIN (HUMAN)|INSULIN BOVINE|INSULIN BOVINE INSULIN|INSULIN HUMAN|INSULIN HUMAN (BIOSYNTHESIS)|INSULIN HUMAN (SYNTHESIS)|INSULIN HUMAN SEMISYNTHETIC|INSULIN RECOMBINANT HUMAN|INSULIN RECOMBINANT PURIFIED HUMAN|INSUMAN INFUSAT|Insulin Recombinant Human|Insulin recombinant human|MYXREDLIN|NOVOLIN R|Novolin|VELOSULIN BR|VELOSULIN BR HUMAN|Velosulin"";""Protein"";""4.0"";"""";""108"";""495"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""SEQ"";""0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,,,,,,
"CHEMBL2096647;""LANTHANUM CARBONATE"";""BAY77-1931|DILANTHANUM TRICARBONATE HYDRATE|FOZNOL|Fosrenol|LANTHANUM (III) CARBONATE HYDRATE|LANTHANUM CARBONATE|LANTHANUM CARBONATE (LA2(CO3)3)|LANTHANUM CARBONATE ANHYDROUS|LANTHANUM CARBONATE HYDRATE|LANTHANUM CARBONATE PENTAHYDRATE|LANTHANUM CARBONATE TETRAHYDRATE|LANTHANUM SESQUICARBONATE|LANTHANUM(3 ) CARBONATE|Lanthanum carbonate|PHOSBLOC"";""Small molecule"";""4.0"";""457.84"";""1"";""2"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""NONE"";""0"";""None"";""None"";""None"";""None"";""457.7669"";""None"";""None"";""C3La2O9"";"""";""""",,,,,,,,,,,,,
"CHEMBL5204913;"""";"""";"""";"""";""407.40"";""4"";""4"";""3.79"";""74.95"";""7"";""0"";""0"";""6"";""N"";""0.45"";""None"";""1.22"";""3.09"";""3.09"";""4"";""MOL"";""0"";""30"";""7"";""0"";""0"";""407.1281"";""-0.84"";""NEUTRAL"";""C22H18FN3O4"";""COc1cc(C(=O)c2cn3ccnc(-c4ccc(F)cc4)c3n2)cc(OC)c1OC"";""MNWSIWHARNLPPE-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL5209517;"""";"""";"""";"""";""371.35"";""4"";""4"";""2.81"";""105.20"";""8"";""0"";""0"";""6"";""N"";""0.37"";""None"";""1.56"";""2.59"";""2.59"";""3"";""MOL"";""0"";""27"";""9"";""0"";""0"";""371.1117"";""-0.74"";""NEUTRAL"";""C18H17N3O6"";""COc1cc(C(=O)c2cn3ccc(C)c([N+](=O)[O-])c3n2)cc(OC)c1OC"";""PVOVNWFQYYBGNZ-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL85;""RISPERIDONE"";""LY-03004|LY03004|N05AX08|NSC-759895|PERSERIS|PERSERIS KIT|R 64 766|R-64","766|R-64-766|R-64766|RCN-3028|RCN3028|RISPERDAL CONSTA|RISPERDAL QUICKLET|RISPERIDONE|Risperdal|Risperdal Consta Long Acting|Risperdal M|Risperdal M-TAB"";""Small molecule"";""4.0"";""410.49"";""214"";""1366"";""3.59"";""64.16"";""6"";""0"";""0"";""4"";""N"";""0.66"";""None"";""8.76"";""2.63"";""1.25"";""3"";""MOL"";""0"";""30"";""6"";""0"";""0"";""410.2118"";""-1.47"";""BASE"";""C23H27FN4O2"";""Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2"";""RAPZEAPATHNIPO-UHFFFAOYSA-N""",,,,,,,,,,,,
"CHEMBL2108350;""CONESTAT ALFA"";""C1 ESTERASE INHIBITOR|COMPLEMENT C1 ESTERASE INHIBITOR|CONESTAT ALFA|RECOMBINANT HUMAN C1 INHIBITOR|RECOMBINANT HUMAN C1-INHIBITOR|RHUCIN|RUCONEST"";""Protein"";""4.0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""NONE"";""0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,,,,,,
"CHEMBL2108709;""COLLAGENASE CLOSTRIDIUM HISTOLYTICUM"";""AA-4500|AA4500|CLOSTRIDIAL COLLAGENASE|CLOSTRIDIUM HISTOLYTICUM ENZYMES|COLLAGENASE|COLLAGENASE (CLOSTRIDIUM HISTOLYTICUM)|COLLAGENASE CLOSTRIDIUM HISTOLYTICUM|CORDASE|IRUXOL|MZ-004|PLAQUASE|SANTYL|Xiaflex"";""Enzyme"";""4.0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""NONE"";""0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,,,,,,
"CHEMBL1200406;""DIMENHYDRINATE"";""ANTEMIN|CHLORANAUTINE|DIMENHYDRINATE|Dramamine|NSC-117855|VERTIGO-VOMEX S"";""Small molecule"";""4.0"";""469.97"";""122"";""706"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""MOL"";""0"";""None"";""None"";""None"";""None"";""469.1881"";""None"";""None"";""C24H28ClN5O3"";""CN(C)CCOC(c1ccccc1)c1ccccc1.Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O"";""NFLLKCVHYJRNRH-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL1009;""LEVODOPA"";""BROCADOPA|Bendopa|CVT-301|Dopar|INBRIJA|LEVODOPA|LEVODOPUM|Larodopa|NSC-118381|V-1512"";""Small molecule"";""4.0"";""197.19"";""212"";""1150"";""0.05"";""103.78"";""4"";""4"";""0"";""3"";""N"";""0.51"";""1.65"";""9.06"";""-1.79"";""-1.80"";""1"";""MOL"";""0"";""14"";""5"";""5"";""0"";""197.0688"";""1.19"";""ZWITTERION"";""C9H11NO4"";""N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O"";""WTDRDQBEARUVNC-LURJTMIESA-N""",,,,,,,,,,,,,
"CHEMBL64;""ISONIAZID"";""ARMAZID|ARMAZIDE|ATCOTIBINE|CEDIN|COTINAZIN|DIANICOTYL|DOW-ISONIAZID|ERALON|ERTUBAN|HIDRASONIL|HYDRAZID|HYZYD|IPCAZIDE|ISCOTIN|ISIDRINA|ISOBICINA|ISONIAZID|ISONIAZIDUM|ISONICOTAN|ISONICOTINYLHYDRAZINE|Isoniazid|LANIAZID|MYBASAN|NEUMANDIN|NICOTIBINE|NSC-9659|Nydrazid|RIMIFON|STANOZIDE|TEEBACONIN|TISIODRAZIDA"";""Small molecule"";""4.0"";""137.14"";""275"";""6329"";""-0.31"";""68.01"";""3"";""2"";""0"";""1"";""N"";""0.32"";""13.61"";""3.35"";""-0.69"";""-0.69"";""1"";""MOL"";""0"";""10"";""4"";""3"";""0"";""137.0589"";""-1.62"";""NEUTRAL"";""C6H7N3O"";""NNC(=O)c1ccncc1"";""QRXWMOHMRWLFEY-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL5195251;"""";"""";"""";"""";""406.44"";""4"";""4"";""3.68"";""93.13"";""8"";""1"";""0"";""6"";""N"";""0.49"";""None"";""3.65"";""2.15"";""2.15"";""4"";""MOL"";""0"";""30"";""8"";""2"";""0"";""406.1641"";""-0.73"";""NEUTRAL"";""C22H22N4O4"";""COc1ccc(-c2cn3ccnc(-c4cc(OC)c(OC)c(OC)c4)c3n2)cc1N"";""UTSCSVWFCSXOLF-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL385517;""SAXAGLIPTIN"";""BMS-477118|BMS-477118-11|SAXAGLIPTIN"";""Small molecule"";""4.0"";""315.42"";""28"";""121"";""1.16"";""90.35"";""4"";""2"";""0"";""2"";""N"";""0.80"";""None"";""7.90"";""-0.08"";""-0.70"";""0"";""MOL"";""0"";""23"";""5"";""3"";""0"";""315.1947"";""0.17"";""NEUTRAL"";""C18H25N3O2"";""N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2"";""QGJUIPDUBHWZPV-SGTAVMJGSA-N""",,,,,,,,,,,,,
"CHEMBL117287;""PRUCALOPRIDE"";""PRUCALOPRIDE|R-093877|R093877|RESOLOR"";""Small molecule"";""4.0"";""367.88"";""36"";""1075"";""2.09"";""76.82"";""5"";""2"";""0"";""6"";""N"";""0.59"";""None"";""8.98"";""0.74"";""-0.84"";""1"";""MOL"";""0"";""25"";""6"";""3"";""0"";""367.1663"";""-1.22"";""BASE"";""C18H26ClN3O3"";""COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1"";""ZPMNHBXQOOVQJL-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL5080402;"""";"""";""Unknown"";"""";""458.38"";""2"";""3"";""7.59"";""29.02"";""4"";""0"";""1"";""4"";""N"";""0.28"";""None"";""None"";""7.85"";""7.85"";""5"";""MOL"";""-1"";""29"";""3"";""0"";""1"";""457.0248"";""-0.83"";""NEUTRAL"";""C24H16BrN3S"";""Brc1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)c2nsnc12"";""JGFDGXZMVJYTLH-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL447;""SECOBARBITAL"";""(RS)-SECOBARBITAL|EVRONAL|HYPOTROL|IMMENOX|MEBALLYMAL|QUINALBARBITAL|SECOBARBITAL|SECOBARBITAL CII|SECOBARBITAL SODIUM FREE ACID|SECOBARBITONE|SOMATARAX|Secobarbital|Seconal"";""Small molecule"";""4.0"";""238.29"";""116"";""705"";""1.35"";""75.27"";""3"";""2"";""0"";""5"";""N"";""0.56"";""7.48"";""None"";""2.03"";""1.77"";""0"";""MOL"";""0"";""17"";""5"";""2"";""0"";""238.1317"";""0.55"";""NEUTRAL"";""C12H18N2O3"";""C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O"";""KQPKPCNLIDLUMF-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL443;""SULFAMETHOXAZOLE"";""ACETYLSULFAMETHOXAZOLE|Acetylsulfamethoxazole|GANTANOL-DS|Gantanol|NSC-147832|RO 4-2130|RO-4-2130|STX-608|SULFAMETHOXAZOLE|SULFAMETHOXAZOLE SODIUM|SULFAMETHOXAZOLUM|SULPHAMETHOXAZOLE|Sinomin|Suphamethoxazole|UROBAK"";""Small molecule"";""4.0"";""253.28"";""189"";""1207"";""1.37"";""98.22"";""5"";""2"";""0"";""3"";""N"";""0.80"";""6.16"";""1.97"";""0.79"";""0.00"";""2"";""MOL"";""0"";""17"";""6"";""3"";""0"";""253.0521"";""-2.12"";""ACID"";""C10H11N3O3S"";""Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1"";""JLKIGFTWXXRPMT-UHFFFAOYSA-N""",,,,,,,,,,,,,
